lang,drink_type,count,num,percentage
Turkish,tea,30420,20214545,0.001504857
Russian,tea,12322,20699490,0.00059528
English,tea,135503,261392982,0.000518388
German,tea,801,2967592,0.000269916
Dutch,tea,625,2665966,0.000234437
France,tea,3025,15408458,0.000196321
Spanish,tea,15360,78971982,0.000194499
Portuguese,tea,7051,38116502,0.000184985
Indonesian,tea,5655,35972398,0.000157204
Italian,tea,462,5106127,9.05E-05
Spanish,soft drink,53194,78971982,0.000673581
Portuguese,soft drink,19698,38116502,0.000516784
Turkish,soft drink,8352,20214545,0.000413168
Italian,soft drink,1846,5106127,0.000361526
English,soft drink,59169,261392982,0.00022636
Indonesian,soft drink,6965,35972398,0.000193621
France,soft drink,2933,15408458,0.00019035
German,soft drink,540,2967592,0.000181966
Dutch,soft drink,395,2665966,0.000148164
Russian,soft drink,1150,20699490,5.56E-05
Indonesian,healthy drink,39511,35972398,0.00109837
Spanish,healthy drink,58400,78971982,0.000739503
Portuguese,healthy drink,23312,38116502,0.000611599
English,healthy drink,157773,261392982,0.000603585
Turkish,healthy drink,11807,20214545,0.000584084
France,healthy drink,7062,15408458,0.00045832
Italian,healthy drink,2185,5106127,0.000427917
Russian,healthy drink,5587,20699490,0.00026991
German,healthy drink,764,2967592,0.000257448
Dutch,healthy drink,583,2665966,0.000218682
Italian,coffee,9283,5106127,0.001818012
Indonesian,coffee,39008,35972398,0.001084387
Turkish,coffee,21674,20214545,0.001072198
English,coffee,247050,261392982,0.000945129
Portuguese,coffee,35968,38116502,0.000943633
German,coffee,2742,2967592,0.000923981
Russian,coffee,18860,20699490,0.000911134
Dutch,coffee,2315,2665966,0.000868353
France,coffee,11272,15408458,0.000731546
Spanish,coffee,54237,78971982,0.000686788
